132|247|130|194|177|195|133|167|160|204|104|114|237|265|179|187|287|83|279|186|352|345|68|163|358|23|298
105|12|293|35|99|88|213|315|155|260|61|324|36|20|100|335|106|59|241|44|314|26|65|146|340|73|271
326|113|311|312|127|49|300|233|58|42|18|5|89|231|323|288|214|117|37|185|305|159|27|66|125|173|342
347|338|136|289|332|174|270|309|242|290|238|203|188|70|215|228|29|6|210|120|193|71|321|266|281|102|222
234|246|48|307|221|280|227|199|284|128|329|252|77|74|94|317|131|145|263|322|76|90|93|81|119|135|212
355|294|275|129|330|226|353|219|328|51|259|198|30|320|63|164|359|251|64|41|184|257|223|121|170|337|282
255|319|272|153|21|172|139|181|339|176|11|250|277|196|295|32|97|327|98|306|124|144|53|178|101|235|249
303|118|308|31|299|310|331|50|273|95|286|123|28|91|291|274|33|236|297|316|108|109|276|346|256|13|92
62|189|206|225|157|285|85|171|122|216|351|15|165|138|301|148|218|349|156|4|192|356|9|341|202|72|207
344|17|269|296|22|86|150|137|79|47|336|318|208|78|134|110|2|191|268|292|209|258|3|126|82|43|46
115|243|201|25|205|161|141|232|84|169|107|182|283|52|67|56|183|158|142|267|244|143|239|147|180|175|304
55|19|197|39|200|24|262|230|96|60|240|87|103|354|34|45|253|245|154|57|166|54|152|75|348|111|224
190|69|261|350|149|254|8|278|168|334|333|357|325|140|264|10|1|38|220|313|248|229|16|211|7|40|116
